OBSID,rmid,lambda,Lx,Z,MEM_MATCH_ID
0401170101,196,26.0292,2.48386e+42,0.28613323,196
0650382401,1238,68.712616,1.78546e+44,0.35498303,1238
0605391501,1378,84.62356,3.97226e+43,0.37327638,1378
0673150401,1380,41.66555,4.19547e+42,0.5134825,1380
0146990201,3184,68.087166,2.9041300000000003e+43,0.47753376,3184
0066950201,3893,42.13845,5.2905200000000004e+42,0.29298607,3893
0302581501,3950,110.297676,4.9269300000000005e+42,0.55963725,3950
0650384901,5151,53.28984000000001,3.62335e+43,0.37266624,5151
0650381701,5668,51.764343,6.726350000000001e+42,0.40198845,5668
0670880501,5985,55.669617,7.709830000000001e+42,0.4228018,5985
0012440101,6172,56.798485,2.7279500000000003e+43,0.40984884,6172
0405200101,7145,29.903963,6.21188e+42,0.401631,7145
0161560141,8473,38.065376,1.49288e+43,0.36808655,8473
0743350501,8823,26.898733,4.6960800000000005e+42,0.34987290000000004,8823
0111270101,9275,20.811998000000006,1.25374e+41,0.24608916,9275
0723800301,9328,33.076996,2.5957300000000002e+42,0.26772812,9328
0203362201,10096,59.31555,2.44004e+43,0.47694117,10096
0747440140,10228,43.892776,1.6197800000000002e+42,0.32634640000000004,10228
0655380101,10245,44.808075,7.43733e+42,0.28312653,10245
0747390134,10431,31.5515,2.9992200000000003e+43,0.3713877,10431
0553911301,10465,26.730928,1.119e+43,0.2975193,10465
0556560101,10732,28.103876,4.70932e+42,0.29111058,10732
0111260701,11150,32.268486,1.9081900000000001e+43,0.4412042000000001,11150
0556210301,11795,43.969048,2.40087e+43,0.41612938,11795
0677600137,12193,33.290565,3.00768e+43,0.34813845,12193
0143650801,12653,20.339094,2.90417e+42,0.17265737,12653
0111260701,12855,22.62734,9.460090000000001e+42,0.4408566,12855
0305750501,13004,52.96948199999999,1.9230400000000001e+43,0.44942766,13004
0206180201,13775,52.92372,2.3468200000000003e+42,0.45197397,13775
0674660201,13932,27.615717,9.715700000000001e+42,0.33685985,13932
0652010401,14402,70.28388000000001,2.2583800000000003e+43,0.5392811,14402
0203170101,14439,25.785120000000006,5.09163e+42,0.342017,14439
0404911201,14485,23.039225,8.637220000000001e+42,0.25809896,14485
0306050201,15414,59.89524,4.6243700000000003e+42,0.49234867,15414
0677670134,15904,33.000725,3.77308e+42,0.42393395,15904
0651890301,16189,34.099083,2.08692e+42,0.4234059,16189
0084230201,16263,25.617315,1.91171e+45,0.44624546,16263
0145020101,16396,42.74865,1.02495e+43,0.436015,16396
0780450501,17793,54.76957,1.50263e+43,0.50006837,17793
0206430101,18460,20.750978,5.79573e+42,0.5237890000000001,18460
0741300101,19466,32.970215,1.8486900000000002e+42,0.3692214,19466
0790181901,19669,29.248,4.0475600000000004e+42,0.35408774,19669
0404965401,20437,21.117098,1.4190200000000002e+43,0.26208878,20437
0693180201,20808,34.541473,4.07748e+42,0.34063596,20808
0201470101,21216,34.86183,1.9164200000000002e+43,0.4386382,21216
0674810101,21258,73.0908,4.1567600000000004e+43,0.51251125,21258
0550360101,21378,26.166494,1.54726e+43,0.31972268,21378
0404964801,21551,25.144411,1.34003e+43,0.29327783,21551
0655380201,21682,39.484085,1.04962e+43,0.41757116,21682
0672910101,22258,28.058111,1.4006200000000002e+43,0.56613123,22258
0674740101,22430,21.239138,3.10055e+42,0.19532652,22430
0102040301,23141,29.21749,3.82099e+42,0.38028783,23141
0747390152,23220,22.612085,3.8851e+43,0.25040984,23220
0761730401,23958,36.05172,1.27213e+42,0.42514956,23958
0692330401,24726,55.22722,1.28266e+43,0.50097215,24726
0200730101,24955,59.84948000000001,1.7706600000000002e+43,0.5669503,24955
0102040301,25578,23.740953,4.09038e+42,0.3485581,25578
0795711401,26000,37.04329,4.47657e+43,0.43366513,26000
0677670131,26349,36.12799,9.35214e+42,0.41752025,26349
0403760301,26587,29.293764000000003,2.95219e+42,0.3993315,26587
0693661301,27718,41.6808,6.911020000000001e+42,0.47049004,27718
0203220101,29424,26.959753000000006,4.5791700000000003e+42,0.3780622,29424
0149880101,29721,20.156034,8.9022e+42,0.3961959000000001,29721
0112240301,30870,20.583174,8.154410000000001e+42,0.30426243,30870
0503600301,31079,26.547869,2.1918e+43,0.4001499,31079
0206430101,31101,31.566755,7.28947e+42,0.47772646,31101
0760540101,31129,41.51300000000001,3.45547e+42,0.52699655,31129
0142830101,31258,57.805313,4.31347e+42,0.50576097,31258
0146990201,31456,34.98387,2.4107900000000003e+43,0.4232584,31456
0502500101,31541,22.154436,3.57341e+42,0.4440076,31541
0723800301,33287,22.078161,2.01582e+42,0.28329387,33287
0785101901,33512,24.320642000000007,9.389680000000001e+42,0.31039520000000004,33512
0780451201,34223,23.985033,4.8468300000000004e+42,0.37925896,34223
0693662501,34319,23.283304,4.16611e+42,0.4843084,34319
0560192001,34444,31.58201,6.34663e+42,0.44598693,34444
0414980101,34608,29.12596,1.0468200000000001e+43,0.47033128,34608
0302820101,34839,57.073074,2.80582e+43,0.5554576999999999,34839
0503610101,35265,20.552664,7.181330000000001e+41,0.35341406,35265
0403100101,35709,20.903528,2.0197800000000002e+42,0.21282214,35709
0044740201,36184,32.573586,1.46493e+43,0.45537594,36184
0670040101,36618,21.071333,4.3654300000000004e+42,0.34257236,36618
0553560801,36883,23.588404,4.68611e+43,0.48138103,36883
0020540401,37702,26.639399,3.66041e+41,0.43935844,37702
0082990101,37714,20.659449,2.92221e+42,0.37977055,37714
0404450101,37729,22.8104,3.29391e+42,0.34751457,37729
0673150201,38145,23.786718,6.28466e+42,0.31296507,38145
0650590401,38237,21.940866,5.38491e+42,0.3086879,38237
0742830148,38945,22.87142,7.13041e+42,0.34265646,38945
0109661001,39064,25.63257,6.07858e+42,0.37719515,39064
0301340501,39358,42.48932,1.27328e+43,0.539579,39358
0748190101,39572,28.225916,5.39067e+43,0.49930465,39572
0762870601,40398,20.38486,2.2256700000000002e+42,0.35644737,40398
0790181901,40466,33.229546,3.44257e+42,0.48308307,40466
0553440601,40522,22.230711,8.87775e+42,0.43685743,40522
0693180901,41088,20.781488,1.09862e+43,0.4883452999999999,41088
0128531401,41150,35.24320200000001,1.3141200000000001e+43,0.509359,41150
0655380901,41882,50.147316,5.13382e+42,0.53576005,41882
0411980201,42018,40.979073,2.26293e+43,0.5349001999999999,42018
0700180201,42227,39.484085,1.8482400000000002e+43,0.42324024,42227
0200730301,43877,24.854567000000007,2.95807e+43,0.33171597,43877
0670300101,44007,45.586075,1.3267800000000002e+43,0.5037318000000001,44007
0203450101,45193,32.131187,2.33524e+43,0.498795,45193
0783880501,45665,32.497307,3.80167e+42,0.4528745,45665
0305751001,46673,22.520555,2.62317e+42,0.2943499,46673
0693661101,46938,37.882317,2.25979e+43,0.55173427,46938
0056020701,46954,35.395752,4.6423100000000004e+42,0.5134626,46954
0674360101,47181,25.464766,1.5345700000000001e+43,0.4040784,47181
0674740101,48843,27.661482,3.06469e+42,0.4156435000000001,48843
0605000301,49303,50.330376,4.6901100000000006e+42,0.5416328,49303
0652810201,51338,22.032396,6.751720000000001e+42,0.43779743,51338
0203361801,52747,28.97341,1.98253e+42,0.39524013,52747
0747440150,53156,25.434256,1.20084e+43,0.45773286,53156
0762470101,53666,20.567919,8.630530000000001e+42,0.35432866,53666
0763460201,53852,20.842508,6.03341e+42,0.41693136,53852
0200430501,54031,31.58201,1.19372e+43,0.49512708,54031
0603500701,54257,23.23754,4.1225000000000005e+42,0.35636222,54257
0784521101,54445,20.07976,2.9469300000000003e+41,0.37153244,54445
0143150201,54899,25.220686,7.02208e+41,0.40905398,54899
0110930401,55078,25.556295,7.392490000000001e+42,0.38703525,55078
0001930101,55188,36.25003,1.42625e+43,0.51367587,55188
0147580301,55415,20.01874,4.32163e+42,0.36438605,55415
0601970101,57046,25.083391,9.58353e+42,0.41912356,57046
0723802101,58252,23.313814,2.9994800000000004e+42,0.4326528,58252
0502500101,58930,24.976606,5.34761e+42,0.39166617,58930
0056020701,59552,31.902365000000003,8.85213e+42,0.47923762,59552
0653450501,61878,27.997091,1.5592700000000001e+43,0.53549206,61878
0203390801,63047,32.863426000000004,2.4139e+43,0.47219083,63047
0782330301,63240,24.213858,3.5919200000000004e+42,0.4095343,63240
0694440501,63711,44.121597,7.183820000000001e+42,0.503754,63711
0693990201,64407,27.158068,2.7755700000000003e+42,0.46429247,64407
0502860101,64790,20.14078,5.3892200000000005e+42,0.538851,64790
0037982601,65029,35.029633000000004,2.31419e+43,0.51365983,65029
0404966301,65760,22.612085,5.92277e+42,0.44735345,65760
0037980701,66811,23.740953,8.17824e+42,0.4364514,66811
0149900301,67524,26.913988,6.72934e+42,0.42347735,67524
0044740201,68944,20.903528,1.32503e+43,0.44239366,68944
0762260101,69759,20.964548,5.77236e+42,0.40664324,69759
0651890301,69827,28.36321,3.57978e+42,0.44531637,69827
0604530101,70596,20.003485,6.69315e+42,0.42922878,70596
0723802201,70750,32.054916,1.45972e+43,0.4455899,70750
0025541601,72505,20.659449,8.06097e+43,0.3688178,72505
0111282601,72610,23.756208,1.9100500000000002e+43,0.47410232,72610
0763780701,73969,36.26529,5.48808e+42,0.4945958,73969
0005210101,77836,24.122328,8.99747e+42,0.4615395000000001,77836
0147630101,80606,26.21226,9.496730000000001e+42,0.51725745,80606
0146990201,80720,23.756208,3.7038400000000003e+43,0.4870112,80720
0605000501,80950,22.99346,3.14553e+43,0.4883122,80950
0765081001,83532,31.200636,1.12304e+43,0.56165045,83532
0651100301,85080,23.451109,3.57779e+43,0.4469876,85080
0505400101,85532,27.676737,1.12689e+43,0.47232103,85532
0693010401,86675,20.125525,1.4701000000000001e+43,0.57194453,86675
0784521701,87721,26.349554,2.43465e+43,0.50897205,87721
0653810501,88909,24.320642000000007,8.971490000000001e+42,0.45567214,88909
0085640201,89929,22.093416,2.0383100000000003e+42,0.38692218,89929
0673110201,90788,24.976606,6.78332e+42,0.4623488,90788
0744930401,91019,28.180151,9.964860000000001e+42,0.53103286,91019
0693010601,93096,20.903528,7.21753e+42,0.49576908,93096
0504102001,94547,21.254393,9.65604e+42,0.5155031,94547
0694580101,95002,26.608889,6.8761e+43,0.5043488,95002
0677690133,96753,21.940866,1.9437800000000001e+43,0.44490343,96753
0106061101,100455,35.76187,9.312450000000001e+42,0.55925167,100455
0783881201,102337,23.20703,1.2291900000000002e+43,0.4748549,102337
0111550401,102606,27.325872,6.91992e+42,0.4618037,102606
0060370901,103516,21.345922,6.94123e+43,0.5256783,103516
0152530101,106108,21.178118,3.93671e+42,0.3947593,106108
0305920101,107804,21.467962,1.29697e+43,0.51361537,107804
0504102001,108125,22.84091,5.941270000000001e+42,0.5028439,108125
0203361201,110316,21.422197,3.12101e+42,0.4861792,110316
0551870301,110719,22.398516,6.095320000000001e+42,0.5265624,110719
0300210701,111304,29.141214,3.1832900000000003e+43,0.5386554,111304
0017940101,113137,28.36321,1.06398e+43,0.5579531,113137
0099030101,115156,20.659449,3.1724800000000004e+43,0.5594409,115156
0553440601,115293,20.522154,6.53774e+43,0.5385875,115293
0723801201,116210,22.047651,5.95842e+42,0.51576024,116210
0601780401,116258,20.125525,3.57725e+43,0.49181703,116258
0112552001,116467,21.605257,1.6079100000000002e+45,0.46530694,116467
0210280101,116924,31.82609,6.94543e+42,0.57800746,116924
0655380901,117257,23.939268,2.07412e+43,0.4418988,117257
0502220301,117465,24.518957,6.90084e+42,0.5630129,117465
0503600201,117621,20.811998000000006,1.7221200000000002e+43,0.55057573,117621
0502120101,119561,29.354784,3.9492700000000003e+42,0.5145858,119561
0300530501,120437,29.080194,6.7814e+43,0.52861726,120437
0401270301,120449,26.0292,3.09702e+43,0.4952388,120449
0065140201,124305,23.35958,5.592860000000001e+42,0.44918776,124305
0400830301,124465,21.193373,7.9744e+42,0.52736306,124465
0722140401,124569,23.02397,1.1095500000000001e+43,0.5349662,124569
0112240301,124755,22.001886,9.591770000000001e+42,0.41946277,124755
0556212101,124994,26.18175,3.6189900000000004e+43,0.44381517,124994
0503490201,126870,22.230711,2.2317700000000002e+42,0.43235013,126870
0555060501,126937,23.664679,3.24495e+43,0.55453306,126937
0503600201,127765,28.347956,1.1430900000000002e+43,0.53018636,127765
0103460801,128915,20.23231,1.41666e+44,0.43220612,128915
0012440101,138488,24.137583,1.11113e+43,0.47965053,138488
0679181401,139356,21.559492,2.45358e+43,0.56501675,139356
0783520501,139378,20.308584,8.01834e+42,0.4804588,139378
0404968001,139578,20.491644,3.56218e+43,0.51431584,139578
0405200101,140524,24.168093,7.88769e+42,0.55468535,140524
0502690601,140713,24.351152,7.28679e+42,0.48399177,140713
0784521101,140841,20.888273,1.99448e+43,0.49392763,140841
0692330401,140919,28.408976000000006,1.00899e+42,0.51502585,140919
0551630301,144097,20.29333,6.71136e+43,0.5294418000000001,144097
0152860101,144744,20.827253,5.62579e+42,0.43021217,144744
0306680201,145064,27.310617,6.10381e+42,0.5130008,145064
0112520101,145586,22.99346,1.0905400000000001e+43,0.5087878,145586
0147110201,145638,25.022371,3.0418100000000003e+43,0.50495344,145638
0143650701,146297,20.644194,2.62438e+43,0.5530793,146297
0691010901,146632,25.861395,2.57152e+43,0.5471050000000001,146632
0304160301,147682,20.796743,1.51493e+43,0.4500535,147682
0744390301,148131,26.944498,1.76577e+43,0.53901434,148131
0551830201,152578,25.90716,2.62081e+42,0.5188282,152578
0723801501,152598,25.525785,1.62043e+43,0.5226581,152598
0300210701,156375,28.79035,1.12339e+43,0.5293736,156375
0653450501,162525,30.010748,1.12883e+43,0.54861486,162525
0061740101,166169,21.483217,3.6180200000000003e+43,0.5220259,166169
0720340301,166273,22.41377,8.37581e+42,0.4904992,166273
0205190201,167202,20.583174,1.0772e+43,0.4823145,167202
0092850101,169307,22.642595,1.0096300000000001e+43,0.5044138,169307
0677182201,170937,31.139616,8.701250000000001e+43,0.56704706,170937
0037980701,171281,24.976606,8.13822e+42,0.5511766,171281
0551830201,173132,23.588404,2.64158e+42,0.5543289,173132
0743900401,173494,25.312216,8.77494e+42,0.5565150999999999,173494
0554540201,177642,22.886675,4.81404e+42,0.5013645,177642
0723800301,178234,20.796743,3.77849e+42,0.47726992,178234
0152860101,178445,20.38486,7.26686e+42,0.4857518,178445
0724791331,180326,21.879847,3.00567e+43,0.50531507,180326
0107860201,180906,21.727297,7.7261e+42,0.5732403,180906
0693661101,181766,22.29173,1.12123e+43,0.5151918,181766
0085030101,184463,25.251196,6.54183e+43,0.55543125,184463
0210490101,184782,27.417402000000006,2.54887e+42,0.5467273,184782
0502430301,187983,25.434256,7.262450000000001e+42,0.51297903,187983
0677681232,188200,20.537409,3.3785300000000004e+44,0.5102749,188200
0764100601,193170,24.168093,8.97174e+42,0.5639576,193170
0654440101,195443,21.071333,4.1672e+42,0.4740459,195443
0740620301,196788,20.949293,5.42838e+42,0.5512439,196788
0404190101,201906,20.247564,8.23267e+42,0.5305631,201906
0201090401,203510,21.086588,1.65785e+43,0.5312014,203510
0112230201,208540,23.17652,7.47547e+42,0.56433946,208540
0600450301,209904,24.656252,1.32781e+43,0.532633,209904
0112370301,211209,21.147608,3.902e+42,0.5136367999999999,211209
0148560501,217135,20.415369,7.302590000000001e+42,0.5289908,217135
0504480301,217660,24.900331,6.6098e+42,0.53489125,217660
0112830201,227176,21.925611,8.51185e+42,0.5728554,227176
0106460101,229566,27.798777,9.492110000000001e+42,0.54386073,229566
0550960301,232796,20.796743,9.46807e+42,0.49287748,232796
0402750601,244828,21.651022,9.604750000000001e+42,0.46667936,244828
0153030101,246814,28.759840000000004,6.095490000000001e+43,0.57335687,246814
0745320101,248678,20.522154,1.09363e+43,0.5269583999999999,248678
0693430401,253257,20.064505,9.310960000000001e+42,0.5200904000000001,253257
0201750201,264012,22.38326,5.1488100000000003e+42,0.5509951999999999,264012
0601780801,277190,20.827253,1.45872e+43,0.5299058000000001,277190
0723260201,282728,24.198603,9.45213e+42,0.48848772,282728
0402830101,289019,22.38326,5.69085e+42,0.5695520000000001,289019
0782500201,292793,20.781488,7.01654e+42,0.5444184,292793
0722660201,296582,20.400114,7.5575e+42,0.54194325,296582
0403100101,297341,20.857763,1.8025e+42,0.5209590000000001,297341
0553300401,313034,25.44951,2.59738e+42,0.52923506,313034
0651780401,318646,22.47479,2.58187e+43,0.5125069,318646
0790380901,326846,20.07976,7.2603e+42,0.52233374,326846
0762920201,333579,20.491644,1.24482e+43,0.5592188,333579
0112371001,341223,20.04925,6.4069e+42,0.51927185,341223
0724030101,347756,22.184946,8.16021e+42,0.5621012,347756
0693430401,359940,21.544237,6.92494e+42,0.5518223000000001,359940
0403100101,361705,25.617315,2.89477e+42,0.5380568,361705
0202180201,398136,23.771463,2.11705e+42,0.5164372,398136
0693010801,471117,20.14078,9.189190000000001e+42,0.5599064,471117
0553870101,493629,21.986631,2.1421200000000002e+42,0.5469841,493629
0501010101,1508,63.373375,3.16264e+45,0.27234572,1508
0651790101,2190,86.22533,4.24081e+43,0.3971565,2190
0747390143,4421,46.989532,4.7177500000000003e+42,0.26503098,4421
0404967001,5542,59.98676999999999,1.43041e+43,0.43191797,5542
0111270101,5568,24.717272,4.10841e+42,0.22767924,5568
0693010101,6047,30.529417,7.57276e+42,0.35762793,6047
0742510701,6576,33.305824,1.1452800000000001e+45,0.29901165,6576
0674660201,11885,75.08919499999998,1.32588e+43,0.5275486,11885
0202770301,12376,41.65029000000001,3.08634e+43,0.4020296,12376
0747390144,12831,29.400549,8.500080000000001e+42,0.26245114,12831
0677630134,13616,28.48525,1.11619e+43,0.30441907,13616
0673000132,13727,27.707247,2.08672e+43,0.34893528,13727
0200650101,14435,39.545105,6.21585e+42,0.37892947,14435
0110990201,14498,34.358414,1.08896e+43,0.36674014,14498
0655800501,15045,49.201508,3.10522e+43,0.47012135,15045
0722530101,17350,25.63257,8.79428e+42,0.30523765,17350
0083240201,17739,44.518227,3.0366e+43,0.47838852,17739
0106061301,17843,53.884780000000006,2.65883e+43,0.47705847,17843
0401270401,18443,22.62734,3.7705300000000004e+42,0.26980698,18443
0655346842,18692,24.351152,1.3584800000000001e+43,0.26586705,18692
0763300101,19217,35.42626,8.0246e+42,0.4000644,19217
0148742101,19770,27.630972,2.51812e+43,0.35518384,19770
0650380601,19981,35.45677,4.6341e+42,0.38480294,19981
0551720101,20002,46.287804,1.28703e+43,0.48881105,20002
0650382001,20039,24.396917,7.92471e+42,0.33512938,20039
0655380601,20669,34.114334,7.19041e+43,0.393421,20669
0202870201,21754,25.7241,8.89306e+42,0.37426534,21754
0083240201,22096,28.653055,2.86889e+43,0.54656875,22096
0725290152,22131,35.82289,2.0683500000000001e+43,0.49185616,22131
0201900101,22263,29.705648,6.28689e+42,0.3996159,22263
0693661701,22605,21.254393,6.281410000000001e+42,0.26516032,22605
0742830145,22650,30.468397,2.6452600000000004e+43,0.4274102,22650
0551720101,22902,32.100677000000005,6.90427e+42,0.3922084,22902
0720340301,22923,69.810974,2.01213e+43,0.5549158000000001,22923
0037981201,23069,38.873886,2.82495e+43,0.44435024,23069
0650382401,23314,31.61252,2.09926e+43,0.5555185,23314
